# Combined results from the directory /RESULTS/primary/QqN1/results/
# M1	M2	r
448	312	4.42893506806
400	180	8.8452681152
448	252	5.69560561737
400	240	5.95090683344
448	132	10.3449648916
448	192	8.24594854249
448	24	13.0788927495
460	432	3.35220393265
448	72	12.3702665127
496	120	9.5005919534
496	60	7.9607083333
496	24	8.71062526457
460	372	4.46097265074
460	312	4.23669211024
460	252	5.72543717347
460	192	8.16035164256
460	132	10.4392770158
436	420	3.40929224958
484	468	2.35426794839
484	408	3.58285629127
436	360	5.12984986623
484	348	3.71536839231
484	288	4.61403315252
484	108	10.5165266626
436	300	4.85258700643
484	228	6.68130138275
484	168	8.84955032139
484	48	11.9967965222
436	120	11.1727897606
460	36	12.4818836098
436	240	6.29706819345
436	180	8.96944285156
460	96	11.4816778194
436	12	13.2078017044
436	48	13.3452759847
448	444	2.42159562523
448	456	0.0
472	456	2.44521359737
472	396	3.94850198914
448	384	4.62353633642
472	336	3.96679421412
448	324	4.55255528206
472	276	4.86074808364
472	216	6.82220951889
472	36	12.7481529565
448	264	5.24817293801
472	156	9.32491722137
496	132	9.50487660423
472	96	10.9282180198
448	144	9.88626476805
448	204	7.83524050555
496	72	11.0955461892
448	36	12.8039967516
448	84	11.7735403549
424	396	4.29849244517
424	336	5.6434612269
424	276	5.21236524596
424	216	7.3649081009
424	156	9.66343363527
424	36	13.8136207484
424	96	12.4132362618
424	12	13.7491622511
460	48	12.700896113
436	432	2.72735625064
436	444	0.0
460	108	11.4087272131
484	480	1.9451728275
484	492	0.0
460	444	2.02929216327
436	372	4.87778711733
484	420	3.60569970068
436	312	4.85029614439
460	384	4.20694883585
460	324	4.30762629129
484	360	3.45039437371
436	252	5.9088252256
436	132	10.7180811214
484	300	4.30796450002
460	264	5.32909502325
484	120	10.520814989
460	204	7.48457322177
436	192	8.19890116176
484	240	6.19038892079
484	180	8.11761311336
460	144	10.0019746232
484	60	11.5976171612
448	396	4.13832658017
448	336	4.34425063405
448	276	4.89054123068
448	216	7.31787019693
448	156	9.47487365163
448	96	11.8593861757
412	384	4.89152888518
412	324	5.97613819141
496	144	9.27781334644
496	84	7.47750051155
412	264	5.42099504352
412	144	10.2592330563
412	204	7.71550319229
412	84	12.0268223315
412	24	14.3250582127
472	468	2.06412316289
472	480	0.0
472	408	3.8090513977
436	384	4.82280654681
472	348	3.98508726085
436	324	4.75179820106
472	288	4.86500351824
472	228	6.7453294116
436	264	5.18430306184
436	144	10.2378049291
472	48	12.022496185
472	168	8.86663606919
472	108	11.1083946828
436	204	7.63853552121
664	684	0.0
640	660	0.0
604	624	0.0
604	684	0.0
628	648	0.0
652	672	0.0
664	696	0.0
616	696	0.0
616	636	0.0
604	696	0.0
604	636	0.0
676	696	0.0
628	660	0.0
652	684	0.0
616	648	0.0
604	648	0.0
640	672	0
628	672	0.0
652	696	0.0
604	660	0.0
616	660	0.0
640	684	0.0
628	684	0.0
604	672	0.0
616	672	0.0
640	696	0.0
628	696	0.0
616	684	0.0
688	468	1.36302384908
688	408	2.22605359028
688	348	2.84585917324
688	288	3.36501422519
688	228	4.77280490923
688	168	6.14660724464
688	48	7.51003929378
688	108	6.84900696509
688	0	7.64012002454
676	636	0.816090788831
676	576	1.08948941386
676	516	1.11645780565
484	432	3.42756138906
676	456	1.47980276168
676	336	3.01068366029
676	396	2.0746837991
676	276	3.49128326439
676	96	7.36294285848
676	216	4.96891173992
676	36	7.86314824889
676	156	6.25797092571
676	0	7.86624608157
664	624	0.845145101169
664	504	1.14343662087
664	444	1.59677577843
664	564	1.14568548095
664	384	2.65586130768
664	324	3.25181843947
664	204	5.31492512498
664	264	3.68537550371
664	84	7.60139821615
664	144	6.59366952169
664	24	8.02113723232
664	0	8.30774704887
652	612	0.963805637697
652	552	1.27174274054
652	492	1.24471187087
652	432	1.96128617649
652	372	2.63054825633
652	312	3.60765328285
640	600	1.02885680488
652	0	8.45650810383
652	252	4.04298274559
652	192	5.50036563629
652	132	7.07189462423
652	12	8.42706697076
652	72	8.06917115073
640	540	1.33710803403
640	420	2.05367758597
640	360	2.7698400528
640	480	1.40026858544
640	300	3.84939461574
640	240	4.21879870088
640	180	5.93166370842
640	120	7.11524378141
640	60	8.21635385148
436	60	12.7353149619
640	0	8.4720105037
628	588	1.06253295726
628	468	1.62845891777
628	528	1.48605777342
628	408	2.11250807985
628	348	3.23489064342
628	168	6.22703454526
628	228	4.42397967333
628	288	4.00641776079
628	48	8.49989205419
628	108	7.69897150329
628	0	8.83618925724
616	576	1.29653049135
484	372	3.6125530122
436	24	13.1132942169
616	516	1.54028390371
616	456	1.55158441615
616	96	7.96693692616
616	36	8.86409835478
616	276	4.36746273865
616	396	2.09990091252
616	156	6.44515438098
616	0	9.15861427363
616	336	3.32802989887
688	480	1.26310300056
604	204	4.91950926689
688	420	2.11671125624
616	216	4.61998249903
604	264	4.93739321877
688	360	2.90923590179
688	180	5.90691575477
688	240	4.33603283288
688	300	3.01261426401
688	120	6.68651582848
688	60	7.40010037235
688	12	7.59830694378
604	144	6.69118126783
604	564	1.32583714419
604	84	8.4410366383
604	24	8.97261745594
676	648	0.693418611403
604	504	1.77784799225
604	444	1.75746630993
604	384	2.56728086051
676	588	0.981742177676
604	324	3.8324314159
676	528	1.10521952431
676	468	1.44641647028
676	408	2.34391270044
676	288	3.13876205067
676	348	2.95149999406
676	48	7.63547693546
676	108	7.08272855393
676	228	4.80831752196
676	168	5.93938865338
484	312	3.54630994374
676	12	7.88948004877
484	132	9.87344528069
664	636	0.537709289377
664	516	1.17717767374
484	192	7.9721525314
484	252	5.91309692956
664	576	1.26948800311
664	456	1.81446878932
664	336	3.22219033869
664	396	2.32706673988
664	216	4.82838410454
664	276	3.26341134952
664	96	7.42486869883
664	156	6.47144124013
664	36	8.13887279517
664	12	8.19929346072
484	72	11.4302510343
652	624	0.80938895843
652	564	1.27624883973
640	612	0.847382865103
652	504	1.31681567208
652	444	1.7264906387
652	384	2.45765827758
652	324	3.3110910455
652	264	3.67305450801
652	204	5.23613704315
652	144	6.68652002057
652	24	8.38523054988
652	84	7.84766115593
640	552	1.40026858544
